feature,mean_abs_shap
Contract_Month-to-month,0.09004407412186005
ChargePerTenure,0.05253414205560711
PaymentMethod_Electronic check,0.045087989745372405
OnlineSecurity_No,0.03886105999186387
InternetService_Fiber optic,0.03349065142979131
TechSupport_No,0.03236476067645647
tenure,0.02654390605842546
OnlineBackup_No,0.0186963368709296
Dependents,0.01857923108811086
MonthlyCharges,0.017686279846865494
HasSecurity,0.01588982275068381
Contract_Two year,0.015839584936714276
TotalCharges,0.015660078365499645
DeviceProtection_No,0.013670914777114107
AvgMonthlyCharges,0.010385646985759228
Partner,0.010206787561449689
InternetService_DSL,0.009427038933884342
StreamingMovies_Yes,0.009130006729823007
MultipleLines_Yes,0.0088972913917591
StreamingTV_Yes,0.007261104528141582
gender,0.006616603889586321
OnlineSecurity_No internet service,0.006522763749210249
Contract_One year,0.004699096287458252
TechSupport_No internet service,0.003981702175089102
DeviceProtection_No internet service,0.003547243830605889
PaperlessBilling,0.0031021114125924327
StreamingMovies_No internet service,0.002867297914160703
OnlineBackup_No internet service,0.0026977132410305645
PaymentMethod_Bank transfer (automatic),0.002673066537613364
StreamingTV_No internet service,0.0025924347786812135
InternetService_No,0.0025750559312146025
PaymentMethod_Mailed check,0.002465484791085985
PaymentMethod_Credit card (automatic),0.0022710506879864726
MultipleLines_No,0.002004726825765671
MultipleLines_No phone service,0.0019948811920955083
PhoneService,0.001961585534475097
SeniorCitizen,0.0019068776170551235
DeviceProtection_Yes,0.001902941096028024
OnlineBackup_Yes,0.0017041285347381332
TechSupport_Yes,0.0016873359708449059
NumAddonServices,0.0016212312183742817
OnlineSecurity_Yes,0.0014192630352033184
StreamingMovies_No,0.0012901715683397944
HasStreaming,0.0011941895588508385
StreamingTV_No,0.0010710639507972737
